Grupo,Tipo,Posição,Time,Pontos,Jogos,Vitórias,Empates,Derrotas,Gols Pró,Gols Contra,Saldo Gols
Group A,TOTAL,1,Mexico,0,0,0,0,0,0,0,0
Group A,TOTAL,2,South Africa,0,0,0,0,0,0,0,0
Group A,TOTAL,3,South Korea,0,0,0,0,0,0,0,0
Group A,TOTAL,4,,0,0,0,0,0,0,0,0
Group B,TOTAL,1,Canada,0,0,0,0,0,0,0,0
Group B,TOTAL,2,,0,0,0,0,0,0,0,0
Group B,TOTAL,3,Qatar,0,0,0,0,0,0,0,0
Group B,TOTAL,4,Switzerland,0,0,0,0,0,0,0,0
Group C,TOTAL,1,Brazil,0,0,0,0,0,0,0,0
Group C,TOTAL,2,Morocco,0,0,0,0,0,0,0,0
Group C,TOTAL,3,Haiti,0,0,0,0,0,0,0,0
Group C,TOTAL,4,Scotland,0,0,0,0,0,0,0,0
Group D,TOTAL,1,,0,0,0,0,0,0,0,0
Group D,TOTAL,2,United States,0,0,0,0,0,0,0,0
Group D,TOTAL,3,Paraguay,0,0,0,0,0,0,0,0
Group D,TOTAL,4,Australia,0,0,0,0,0,0,0,0
Group E,TOTAL,1,Germany,0,0,0,0,0,0,0,0
Group E,TOTAL,2,Curaçao,0,0,0,0,0,0,0,0
Group E,TOTAL,3,Ivory Coast,0,0,0,0,0,0,0,0
Group E,TOTAL,4,Ecuador,0,0,0,0,0,0,0,0
Group F,TOTAL,1,Netherlands,0,0,0,0,0,0,0,0
Group F,TOTAL,2,Japan,0,0,0,0,0,0,0,0
Group F,TOTAL,3,,0,0,0,0,0,0,0,0
Group F,TOTAL,4,Tunisia,0,0,0,0,0,0,0,0
Group G,TOTAL,1,Belgium,0,0,0,0,0,0,0,0
Group G,TOTAL,2,Egypt,0,0,0,0,0,0,0,0
Group G,TOTAL,3,Iran,0,0,0,0,0,0,0,0
Group G,TOTAL,4,New Zealand,0,0,0,0,0,0,0,0
Group H,TOTAL,1,Spain,0,0,0,0,0,0,0,0
Group H,TOTAL,2,Cape Verde Islands,0,0,0,0,0,0,0,0
Group H,TOTAL,3,Saudi Arabia,0,0,0,0,0,0,0,0
Group H,TOTAL,4,Uruguay,0,0,0,0,0,0,0,0
Group I,TOTAL,1,France,0,0,0,0,0,0,0,0
Group I,TOTAL,2,Senegal,0,0,0,0,0,0,0,0
Group I,TOTAL,3,,0,0,0,0,0,0,0,0
Group I,TOTAL,4,Norway,0,0,0,0,0,0,0,0
Group J,TOTAL,1,Argentina,0,0,0,0,0,0,0,0
Group J,TOTAL,2,Algeria,0,0,0,0,0,0,0,0
Group J,TOTAL,3,Austria,0,0,0,0,0,0,0,0
Group J,TOTAL,4,Jordan,0,0,0,0,0,0,0,0
Group K,TOTAL,1,Portugal,0,0,0,0,0,0,0,0
Group K,TOTAL,2,,0,0,0,0,0,0,0,0
Group K,TOTAL,3,Uzbekistan,0,0,0,0,0,0,0,0
Group K,TOTAL,4,Colombia,0,0,0,0,0,0,0,0
Group L,TOTAL,1,England,0,0,0,0,0,0,0,0
Group L,TOTAL,2,Croatia,0,0,0,0,0,0,0,0
Group L,TOTAL,3,Ghana,0,0,0,0,0,0,0,0
Group L,TOTAL,4,Panama,0,0,0,0,0,0,0,0
